Task,Segment,Detected,Expected,% Missing
Baseline 1,1,112,112.91015716121373,0.008060897124730813
Baseline 1,2,106,106.098210090436,0.0009256526604198679
Baseline 1,3,108,106.17039504997658,0.0
Breathing,1,100,99.07835608160849,0.0
Breathing,2,102,102.46039733766328,0.004493417453243118
Breathing,3,108,105.96912941120542,0.0
Baseline 2,1,102,97.11107443797569,0.0
Baseline 2,2,94,93.41744892146488,0.0
Baseline 2,3,101,100.08226559794127,0.0
Relaxation,1,101,99.89812557124326,0.0
Relaxation,2,101,100.49319834211728,0.0
Relaxation,3,102,99.86842105263283,0.0
Baseline 3,1,102,102.03391041088396,0.00033234451906632843
Baseline 3,2,108,107.84218566897107,0.0
Baseline 3,3,107,105.49919924635759,0.0
